MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,O-to-M,MP,TDU,DU,U_H2 (mol/kg),D_H2 (cm2/s)
AVIVEG_clean,11.84801,1.60870858067705,7.36492,0.733043,0.97675,0.71599975025,2351.79,52.1739130434783,34.7826086956522,0,8.69565217391304,0,0,2.17391304347826,2.17391304347826,0,4.16666666666667,257,0.669270833333333,0.0689806023,0.0012398608365413
AVIVIK_clean,11.79938,1.76028440529844,6.70311,0.734288,0.972643,0.714200083184,2323.19,52.1739130434783,34.7826086956522,0,8.69565217391304,0,0,2.17391304347826,2.17391304347826,0,4.16666666666667,257,0.669270833333333,0.0695770663,0.000912863316676329
AVIVOQ_clean,11.94166,1.67364529258092,7.13512,0.709142,1.01785,0.7218001847,2658.68,52.1739130434783,34.7826086956522,0,8.69565217391304,0,0,2.17391304347826,2.17391304347826,0,4.16666666666667,257,0.669270833333333,0.0716225322,0.00126221789674325
AVIVUW_clean,12.04076,1.74026582183347,6.91892,0.729779,0.981393,0.716200002147,2315.89,52.1739130434783,34.7826086956522,0,8.69565217391304,0,0,2.17391304347826,2.17391304347826,0,4.16666666666667,257,0.669270833333333,0.0689118996,0.000805408468479847
AVOSIO_charged,10.84161,1.12715989570121,9.61852,1.06031,0.540219,0.57279960789,1111.1,41.5094339622642,45.2830188679245,7.54716981132075,0,3.77358490566038,0.628930817610063,0,1.25786163522013,12,3.03030303030303,91,0.45959595959596,0.026799055,0.00043824761066828
AVUCEA_clean,10.64181,2.35187996844066,4.52481,0.89363,0.758256,0.67760030928,2552.15,47.3684210526316,15.7894736842105,31.5789473684211,0,0,0,0,5.26315789473684,12,11.1111111111111,271,0.83641975308642,0.0572939355,0.00105589336514298
AWAGOV_clean,8.03493,1.82611215403566,4.40002,1.14872,0.422035,0.4848000452,644.475,48.4375,35.9375,3.125,10.9375,0,0,0,1.5625,4,3.2258064516129,157,0.633064516129032,0.0270456823,0.000303004838656941
AWAWUR_clean,9.42427,2.20597309089547,4.27216,0.982453,0.617434,0.606599885602,1610.56,46.875,21.875,20.3125,6.25,0,0,0,4.6875,8.66666666666667,10,139,0.772222222222222,0.0461641564,0.000476125197236203
AWEJIW_clean,10.88001,1.03580965872578,10.50387,1.19375,0.502953,0.60040014375,1102.24,53.1645569620253,27.8481012658228,15.1898734177215,0,0,0,0,3.79746835443038,8,7.14285714285714,63,0.75,0.0377553106,0.00114916335910273
AWEVIJ_clean,10.6197,1.22639101729815,8.65931,0.747212,0.857588,0.640800044656,2151.16,49.7652582159624,41.3145539906103,3.75586854460094,4.22535211267606,0,0,0,0.938967136150235,8,1.88679245283019,497,0.586084905660377,0.061195411,0.00073364140513867
AWOFOI_clean,5.44554,1.29889515413459,4.19244,1.31908,0.452892,0.59740077936,1587.46,47.3684210526316,15.7894736842105,31.5789473684211,0,0,0,0,5.26315789473684,12,11.1111111111111,31,0.861111111111111,0.0393168248,0.00140321498526317
AXINIF_clean,9.6188,1.11169797800598,8.65235,0.750661,0.891481,0.669200018941,2948.81,54,30,13,0,0,0,0,3,8.66666666666667,5.55555555555556,157,0.726851851851852,0.0712447006,0.00170255832331435
AXIPEE02_clean,6.48792,1.60395554951235,4.04495,1.63435,0.361245,0.59040076575,1013.74,46.1538461538462,25.6410256410256,0,20.5128205128205,0,0,0,7.69230769230769,0,16.6666666666667,313,0.724537037037037,0.0272978266,0.000747427260834541
AXUBOL_clean,7.85983,1.82812252872494,4.2994,1.05112,0.575959,0.60540202408,1031.17,44.1176470588235,27.9411764705882,19.1176470588235,4.41176470588235,0,0,0,4.41176470588235,8.66666666666667,10,83,0.691666666666667,0.0499319342,0.000456129118661155
AXUHAD_clean,9.91084,2.00494010976673,4.94321,0.792408,0.795297,0.630199705176,2023.49,43.0379746835443,43.0379746835443,7.59493670886076,2.53164556962025,0,0,2.53164556962025,1.26582278481013,12,2.94117647058824,137,0.503676470588235,0.0543606713,0.00107968154632328
AXUHEH_clean,7.21454,1.28098394362246,5.63203,1.06453,0.465746,0.49580058938,962.545,42.1725239616613,42.1725239616613,8.94568690095847,2.55591054313099,0,0,2.55591054313099,1.59744408945687,11.2,3.78787878787879,133,0.503787878787879,0.029983142,0.000527225974167569
AYOQEM_clean,12.16451,1.76978742781988,6.87343,0.774775,0.912006,0.70659944865,2997.35,47.6190476190476,28.5714285714286,19.047619047619,0,0,0,0,4.76190476190476,8,10,337,0.702083333333333,0.0663029255,0.00162046014859157
AYUJIP_clean,12.69936,1.60914547534906,7.89199,1.08786,0.570296,0.62040220656,1531.63,32.9787234042553,41.4893617021277,17.0212765957447,2.12765957446809,0,0,0,6.38297872340426,5.33333333333333,19.3548387096774,208,0.372759856630824,0.0387362327,0.000480491928632777
AZAWAB_clean,5.65614,1.15488229925331,4.89759,1.11309,0.501848,0.55860199032,1118.62,54.2372881355932,28.2485875706215,14.1242937853107,0,0,0,0,3.38983050847458,8.33333333333333,6.25,143,0.744791666666667,0.0400776468,0.00105891489931429
AZEBUE_clean,5.44142,1.20527524713877,4.51467,1.81828,0.279165,0.5076001362,601.015,43.9024390243902,14.6341463414634,29.2682926829268,0,0,0,7.31707317073171,4.8780487804878,12,11.1111111111111,61,0.847222222222222,0.0240232399,0.0010020929541522
AZIVAI_clean,7.0547,1.21442010910449,5.80911,0.682418,1.04774,0.71499663532,3825.28,54.0540540540541,32.4324324324324,0,10.8108108108108,0,0,0,2.7027027027027,0,5,57,0.7125,0.084859551,0.00235962533764085
AZIXUD_clean,5.99991,1.22906411509129,4.88169,1.10463,0.559825,0.61839948975,1706.59,45.945945945946,21.6216216216216,27.027027027027,0,0,0,0,5.40540540540541,10,11.7647058823529,53,0.779411764705882,0.0459958151,0.0010936894563454
